SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
22,1,0,8,1,0.9774592440890552,0.9999999999999987,0.1
22,1,0,8.5,1,0.9814595781109074,1.0000000000000009,0.1
22,1,0,9,1,0.9841353610600239,0.9999999999999997,0.1
22,1,0,9.5,1,0.9856879739613604,1.0,0.1
22,1,0,10,1,0.9863524317330641,1.0000000000000004,0.1
22,1,0,11,1,0.9860017560349645,1.0,0.1
22,1,0,12,1,0.9849071685543318,1.0,0.1
22,1,0,13,1,0.9844207279926661,1.0000000000000004,0.1
22,1,0,14,1,0.9852158622273295,1.0000000000000013,0.1
22,1,0,15,1,0.9872628754970949,1.0000000000000002,0.1
22,1,1,6,1,0.9678646997924393,0.9257120863187311,0.1
22,1,1,6.5,1,0.9564931833646457,0.9994586822608181,0.1
22,1,1,7,1,0.9722793824575929,0.9658647616555284,0.1
22,1,1,7.5,1,0.9719849765851934,0.9994759042251014,0.1
22,1,1,8,1,0.9809534130351386,0.9735087453726612,0.1
22,1,1,8.5,1,0.983161618691421,0.9892313692146618,0.1
22,1,1,9,1,0.9897955919741277,0.9375788197828878,0.1
22,1,1,9.5,1,0.9871043857499453,0.9841751368800667,0.1
