SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
1616,1.5,1,3.0,25,0.8148479075563537,0.8943106410795059,0.1
1616,1.5,2,0.0,25,0.8142204732019821,0.8183907313338414,0.1
1616,1.0,0,6.0,25,0.8354573128616762,1.0000000000000036,0.1
1616,1.5,2,0.5,25,0.8035901113752542,0.7999110250272586,0.1
1616,1.0,0,7.0,25,0.851377536327352,0.9999999999999966,0.1
1616,1.0,0,9.0,25,0.8775344559092645,0.9999999999999972,0.1
1616,1.5,2,3.0,25,0.8385817494156895,0.8319519664913564,0.1
1616,1.0,1,11.0,25,0.9064689343258858,0.9025858595379859,0.1
1616,1.0,1,16.0,25,0.9420141106197291,0.9127923187211044,0.1
1616,1.0,1,17.0,25,0.9473807655952995,0.9170286274680187,0.1
1616,1.0,1,13.0,25,0.9207481408530734,0.9364618599463062,0.1
